2020-04-10 16:28:54, 	OKEX        , 	Bittrex     , 	RVN/BTC, 	2.37e-06, 	38.8011, 	2.36e-06, 	46863.44385412, 	0.423729%, 	0.400000%, 	0.023729%
2020-04-10 16:29:09, 	OKEX        , 	Bittrex     , 	RVN/BTC, 	2.37e-06, 	38.8011, 	2.36e-06, 	46863.44385412, 	0.423729%, 	0.400000%, 	0.023729%
2020-04-10 16:29:24, 	OKEX        , 	Bittrex     , 	RVN/BTC, 	2.37e-06, 	38.8011, 	2.36e-06, 	46863.44385412, 	0.423729%, 	0.400000%, 	0.023729%
2020-04-10 16:29:39, 	OKEX        , 	Bittrex     , 	RVN/BTC, 	2.37e-06, 	38.8011, 	2.36e-06, 	46863.44385412, 	0.423729%, 	0.400000%, 	0.023729%
2020-04-10 16:29:54, 	OKEX        , 	Bittrex     , 	RVN/BTC, 	2.37e-06, 	38.8011, 	2.36e-06, 	46863.44385412, 	0.423729%, 	0.400000%, 	0.023729%
2020-04-10 16:30:09, 	OKEX        , 	Bittrex     , 	RVN/BTC, 	2.37e-06, 	57.6717, 	2.36e-06, 	46863.44385412, 	0.423729%, 	0.400000%, 	0.023729%
2020-04-10 16:30:24, 	OKEX        , 	Bittrex     , 	RVN/BTC, 	2.37e-06, 	38.8011, 	2.36e-06, 	124998.68631916, 	0.423729%, 	0.400000%, 	0.023729%
2020-04-10 16:30:39, 	OKEX        , 	Bittrex     , 	RVN/BTC, 	2.37e-06, 	38.8011, 	2.36e-06, 	326635.60487001, 	0.423729%, 	0.400000%, 	0.023729%
2020-04-10 16:30:54, 	OKEX        , 	Bittrex     , 	RVN/BTC, 	2.37e-06, 	38.8011, 	2.36e-06, 	326635.60487001, 	0.423729%, 	0.400000%, 	0.023729%
2020-04-10 16:31:09, 	OKEX        , 	Bittrex     , 	RVN/BTC, 	2.37e-06, 	38.8011, 	2.36e-06, 	305363.55187001, 	0.423729%, 	0.400000%, 	0.023729%
2020-04-10 16:31:24, 	OKEX        , 	Bittrex     , 	RVN/BTC, 	2.37e-06, 	38.8011, 	2.36e-06, 	305363.55187001, 	0.423729%, 	0.400000%, 	0.023729%
2020-04-10 16:31:39, 	OKEX        , 	Bittrex     , 	RVN/BTC, 	2.37e-06, 	38.8011, 	2.36e-06, 	305363.55187001, 	0.423729%, 	0.400000%, 	0.023729%
2020-04-10 16:31:54, 	OKEX        , 	Bittrex     , 	RVN/BTC, 	2.37e-06, 	38.8011, 	2.36e-06, 	234316.45540497, 	0.423729%, 	0.400000%, 	0.023729%
2020-04-10 16:32:09, 	OKEX        , 	Bittrex     , 	RVN/BTC, 	2.37e-06, 	38.8011, 	2.36e-06, 	314316.45540496, 	0.423729%, 	0.400000%, 	0.023729%
2020-04-10 16:32:24, 	OKEX        , 	Bittrex     , 	RVN/BTC, 	2.37e-06, 	38.8011, 	2.35e-06, 	31837.32229788, 	0.851064%, 	0.400000%, 	0.451064%
2020-04-10 16:32:39, 	OKEX        , 	Bittrex     , 	RVN/BTC, 	2.37e-06, 	38.8011, 	2.35e-06, 	31812.40229788, 	0.851064%, 	0.400000%, 	0.451064%
2020-04-10 16:32:54, 	OKEX        , 	Bittrex     , 	RVN/BTC, 	2.37e-06, 	38.8011, 	2.35e-06, 	31812.40229788, 	0.851064%, 	0.400000%, 	0.451064%
2020-04-10 16:33:09, 	OKEX        , 	Bittrex     , 	RVN/BTC, 	2.37e-06, 	38.8011, 	2.35e-06, 	31812.40229788, 	0.851064%, 	0.400000%, 	0.451064%
2020-04-10 16:33:24, 	OKEX        , 	Bittrex     , 	RVN/BTC, 	2.37e-06, 	57.6735, 	2.35e-06, 	31812.40229788, 	0.851064%, 	0.400000%, 	0.451064%
2020-04-10 16:33:39, 	OKEX        , 	Bittrex     , 	RVN/BTC, 	2.37e-06, 	40.8817, 	2.35e-06, 	31812.40229788, 	0.851064%, 	0.400000%, 	0.451064%
2020-04-10 16:33:54, 	OKEX        , 	Bittrex     , 	RVN/BTC, 	2.37e-06, 	38.8011, 	2.35e-06, 	31812.40229788, 	0.851064%, 	0.400000%, 	0.451064%
2020-04-10 16:34:09, 	OKEX        , 	Bittrex     , 	RVN/BTC, 	2.37e-06, 	40.8843, 	2.35e-06, 	31812.40229788, 	0.851064%, 	0.400000%, 	0.451064%
2020-04-10 16:34:24, 	OKEX        , 	Bittrex     , 	RVN/BTC, 	2.37e-06, 	38.8011, 	2.35e-06, 	31511.0332748, 	0.851064%, 	0.400000%, 	0.451064%
2020-04-10 16:34:39, 	OKEX        , 	Bittrex     , 	RVN/BTC, 	2.37e-06, 	38.8011, 	2.35e-06, 	31511.0332748, 	0.851064%, 	0.400000%, 	0.451064%
2020-04-10 16:34:54, 	OKEX        , 	Bittrex     , 	RVN/BTC, 	2.37e-06, 	40.8843, 	2.35e-06, 	31511.0332748, 	0.851064%, 	0.400000%, 	0.451064%
2020-04-10 16:35:09, 	OKEX        , 	Bittrex     , 	RVN/BTC, 	2.37e-06, 	40.8843, 	2.35e-06, 	31511.0332748, 	0.851064%, 	0.400000%, 	0.451064%
2020-04-10 16:35:24, 	OKEX        , 	Bittrex     , 	RVN/BTC, 	2.37e-06, 	38.8011, 	2.35e-06, 	31511.0332748, 	0.851064%, 	0.400000%, 	0.451064%
2020-04-10 16:35:39, 	OKEX        , 	Bittrex     , 	RVN/BTC, 	2.34e-06, 	48.3297, 	2.35e-06, 	31511.0332748, 	-0.425532%, 	0.400000%, 	-0.825532%
