2020-04-10 10:56:35, 	Bitfinex    , 	OKEX        , 	ETH/BTC, 	0.022955, 	12324.05798418, 	0.02286, 	86.140985, 	0.415573%, 	0.350000%, 	0.065573%
2020-04-10 10:56:50, 	Bitfinex    , 	OKEX        , 	ETH/BTC, 	0.022955, 	12250.50128604, 	0.02286, 	55.030349, 	0.415573%, 	0.350000%, 	0.065573%
2020-04-10 10:57:05, 	Bitfinex    , 	OKEX        , 	ETH/BTC, 	0.022955, 	12236.78761354, 	0.02286, 	54.805991, 	0.415573%, 	0.350000%, 	0.065573%
2020-04-10 10:57:20, 	Bitfinex    , 	OKEX        , 	ETH/BTC, 	0.022955, 	12127.11600308, 	0.02286, 	66.889119, 	0.415573%, 	0.350000%, 	0.065573%
2020-04-10 10:57:35, 	Bitfinex    , 	OKEX        , 	ETH/BTC, 	0.022955, 	12084.64575196, 	0.02286, 	34.989974, 	0.415573%, 	0.350000%, 	0.065573%
2020-04-10 10:57:50, 	Bitfinex    , 	OKEX        , 	ETH/BTC, 	0.022955, 	12059.66663439, 	0.02286, 	51.774215, 	0.415573%, 	0.350000%, 	0.065573%
2020-04-10 10:58:05, 	Bitfinex    , 	OKEX        , 	ETH/BTC, 	0.022955, 	12016.3390653, 	0.02286, 	73.517134, 	0.415573%, 	0.350000%, 	0.065573%
2020-04-10 10:58:20, 	Bitfinex    , 	OKEX        , 	ETH/BTC, 	0.022955, 	11982.35255455, 	0.02285, 	73.35485, 	0.459519%, 	0.350000%, 	0.109519%
2020-04-10 10:58:35, 	Bitfinex    , 	OKEX        , 	ETH/BTC, 	0.022955, 	11933.92569608, 	0.02285, 	52.576555, 	0.459519%, 	0.350000%, 	0.109519%
2020-04-10 10:58:50, 	Bitfinex    , 	OKEX        , 	ETH/BTC, 	0.022955, 	11889.92533536, 	0.02285, 	50.431993, 	0.459519%, 	0.350000%, 	0.109519%
2020-04-10 10:59:05, 	Bitfinex    , 	OKEX        , 	ETH/BTC, 	0.022955, 	11758.87051944, 	0.02286, 	68.436879, 	0.415573%, 	0.350000%, 	0.065573%
2020-04-10 10:59:20, 	Bitfinex    , 	OKEX        , 	ETH/BTC, 	0.022955, 	11714.02268576, 	0.02285, 	73.376457, 	0.459519%, 	0.350000%, 	0.109519%
2020-04-10 10:59:35, 	Bitfinex    , 	OKEX        , 	ETH/BTC, 	0.022955, 	11690.13417445, 	0.02285, 	24.109314, 	0.459519%, 	0.350000%, 	0.109519%
2020-04-10 10:59:50, 	Bitfinex    , 	OKEX        , 	ETH/BTC, 	0.022955, 	11375.15916115, 	0.02286, 	32.250272, 	0.415573%, 	0.350000%, 	0.065573%
2020-04-10 11:00:05, 	Bitfinex    , 	OKEX        , 	ETH/BTC, 	0.022955, 	11336.73097597, 	0.02287, 	106.506925, 	0.371666%, 	0.350000%, 	0.021666%
2020-04-10 11:00:20, 	Bitfinex    , 	OKEX        , 	ETH/BTC, 	0.022955, 	11072.90068479, 	0.02286, 	125.178117, 	0.415573%, 	0.350000%, 	0.065573%
2020-04-10 11:00:35, 	Bitfinex    , 	OKEX        , 	ETH/BTC, 	0.022955, 	10905.85463517, 	0.02286, 	0.042413, 	0.415573%, 	0.350000%, 	0.065573%
2020-04-10 11:00:50, 	Bitfinex    , 	OKEX        , 	ETH/BTC, 	0.022955, 	10804.59041366, 	0.02287, 	23.719735, 	0.371666%, 	0.350000%, 	0.021666%
2020-04-10 11:01:05, 	Bitfinex    , 	OKEX        , 	ETH/BTC, 	0.022955, 	10708.00598989, 	0.02287, 	112.335046, 	0.371666%, 	0.350000%, 	0.021666%
2020-04-10 11:01:20, 	Bitfinex    , 	OKEX        , 	ETH/BTC, 	0.022955, 	10684.51953214, 	0.02287, 	83.187622, 	0.371666%, 	0.350000%, 	0.021666%
2020-04-10 11:01:35, 	Bitfinex    , 	OKEX        , 	ETH/BTC, 	0.022955, 	10498.38421393, 	0.02287, 	56.460982, 	0.371666%, 	0.350000%, 	0.021666%
2020-04-10 11:01:50, 	Bitfinex    , 	OKEX        , 	ETH/BTC, 	0.022955, 	10475.38517044, 	0.02287, 	24.54981, 	0.371666%, 	0.350000%, 	0.021666%
2020-04-10 11:02:05, 	Bitfinex    , 	OKEX        , 	ETH/BTC, 	0.022955, 	10441.22242956, 	0.02287, 	53.633403, 	0.371666%, 	0.350000%, 	0.021666%
2020-04-10 11:02:20, 	Bitfinex    , 	OKEX        , 	ETH/BTC, 	0.022955, 	10375.80110399, 	0.02286, 	39.614859, 	0.415573%, 	0.350000%, 	0.065573%
2020-04-10 11:02:35, 	Bitfinex    , 	OKEX        , 	ETH/BTC, 	0.022955, 	10351.00060002, 	0.02286, 	25.018113, 	0.415573%, 	0.350000%, 	0.065573%
2020-04-10 11:02:50, 	Bitfinex    , 	OKEX        , 	ETH/BTC, 	0.022955, 	10301.41652011, 	0.02286, 	17.563901, 	0.415573%, 	0.350000%, 	0.065573%
2020-04-10 11:03:05, 	Bitfinex    , 	OKEX        , 	ETH/BTC, 	0.022955, 	10287.20273566, 	0.02286, 	17.563901, 	0.415573%, 	0.350000%, 	0.065573%
2020-04-10 11:03:20, 	Bitfinex    , 	OKEX        , 	ETH/BTC, 	0.022955, 	10125.38859439, 	0.02287, 	11.886835, 	0.371666%, 	0.350000%, 	0.021666%
2020-04-10 11:03:35, 	Bitfinex    , 	OKEX        , 	ETH/BTC, 	0.022955, 	10125.0755944, 	0.02288, 	77.751611, 	0.327797%, 	0.350000%, 	-0.022203%
