2020-04-09 01:09:50, 	OKEX        , 	Bitfinex    , 	VSYS/BTC, 	3.87e-06, 	14240.0, 	3.85e-06, 	305.4, 	0.519481%, 	0.350000%, 	0.169481%
2020-04-09 01:10:05, 	OKEX        , 	Bitfinex    , 	VSYS/BTC, 	3.87e-06, 	14240.0, 	3.85e-06, 	305.4, 	0.519481%, 	0.350000%, 	0.169481%
2020-04-09 01:10:20, 	OKEX        , 	Bitfinex    , 	VSYS/BTC, 	3.87e-06, 	14240.0, 	3.85e-06, 	305.4, 	0.519481%, 	0.350000%, 	0.169481%
2020-04-09 01:10:35, 	OKEX        , 	Bitfinex    , 	VSYS/BTC, 	3.87e-06, 	14240.0, 	3.85e-06, 	305.4, 	0.519481%, 	0.350000%, 	0.169481%
2020-04-09 01:10:50, 	OKEX        , 	Bitfinex    , 	VSYS/BTC, 	3.87e-06, 	14240.0, 	3.85e-06, 	305.4, 	0.519481%, 	0.350000%, 	0.169481%
2020-04-09 01:11:05, 	OKEX        , 	Bitfinex    , 	VSYS/BTC, 	3.87e-06, 	14240.0, 	3.85e-06, 	305.4, 	0.519481%, 	0.350000%, 	0.169481%
2020-04-09 01:11:20, 	OKEX        , 	Bitfinex    , 	VSYS/BTC, 	3.87e-06, 	14240.0, 	3.85e-06, 	305.4, 	0.519481%, 	0.350000%, 	0.169481%
2020-04-09 01:11:35, 	OKEX        , 	Bitfinex    , 	VSYS/BTC, 	3.87e-06, 	14240.0, 	3.85e-06, 	305.4, 	0.519481%, 	0.350000%, 	0.169481%
2020-04-09 01:11:50, 	OKEX        , 	Bitfinex    , 	VSYS/BTC, 	3.87e-06, 	14240.0, 	3.85e-06, 	305.4, 	0.519481%, 	0.350000%, 	0.169481%
2020-04-09 01:12:05, 	OKEX        , 	Bitfinex    , 	VSYS/BTC, 	3.87e-06, 	14240.0, 	3.85e-06, 	305.4, 	0.519481%, 	0.350000%, 	0.169481%
2020-04-09 01:12:20, 	OKEX        , 	Bitfinex    , 	VSYS/BTC, 	3.87e-06, 	7340.0, 	3.85e-06, 	305.4, 	0.519481%, 	0.350000%, 	0.169481%
2020-04-09 01:12:35, 	OKEX        , 	Bitfinex    , 	VSYS/BTC, 	3.87e-06, 	7340.0, 	3.85e-06, 	305.4, 	0.519481%, 	0.350000%, 	0.169481%
2020-04-09 01:12:50, 	OKEX        , 	Bitfinex    , 	VSYS/BTC, 	3.87e-06, 	7340.0, 	3.85e-06, 	305.4, 	0.519481%, 	0.350000%, 	0.169481%
2020-04-09 01:13:05, 	OKEX        , 	Bitfinex    , 	VSYS/BTC, 	3.87e-06, 	7340.0, 	3.85e-06, 	305.4, 	0.519481%, 	0.350000%, 	0.169481%
2020-04-09 01:13:20, 	OKEX        , 	Bitfinex    , 	VSYS/BTC, 	3.87e-06, 	7340.0, 	3.85e-06, 	305.4, 	0.519481%, 	0.350000%, 	0.169481%
2020-04-09 01:13:35, 	OKEX        , 	Bitfinex    , 	VSYS/BTC, 	3.87e-06, 	7340.0, 	3.85e-06, 	305.4, 	0.519481%, 	0.350000%, 	0.169481%
2020-04-09 01:13:50, 	OKEX        , 	Bitfinex    , 	VSYS/BTC, 	3.87e-06, 	7340.0, 	3.85e-06, 	305.4, 	0.519481%, 	0.350000%, 	0.169481%
2020-04-09 01:14:05, 	OKEX        , 	Bitfinex    , 	VSYS/BTC, 	3.87e-06, 	7340.0, 	3.85e-06, 	305.4, 	0.519481%, 	0.350000%, 	0.169481%
2020-04-09 01:14:20, 	OKEX        , 	Bitfinex    , 	VSYS/BTC, 	3.87e-06, 	6900.0, 	3.85e-06, 	305.4, 	0.519481%, 	0.350000%, 	0.169481%
2020-04-09 01:14:35, 	OKEX        , 	Bitfinex    , 	VSYS/BTC, 	3.87e-06, 	6900.0, 	3.85e-06, 	305.4, 	0.519481%, 	0.350000%, 	0.169481%
2020-04-09 01:14:50, 	OKEX        , 	Bitfinex    , 	VSYS/BTC, 	3.87e-06, 	6900.0, 	3.85e-06, 	305.4, 	0.519481%, 	0.350000%, 	0.169481%
2020-04-09 01:15:05, 	OKEX        , 	Bitfinex    , 	VSYS/BTC, 	3.86e-06, 	15908.6244, 	3.85e-06, 	305.4, 	0.259740%, 	0.350000%, 	-0.090260%
2020-04-09 01:17:06, 	OKEX        , 	Bitfinex    , 	VSYS/BTC, 	3.87e-06, 	7340.0, 	3.85e-06, 	305.4, 	0.519481%, 	0.350000%, 	0.169481%
2020-04-09 01:17:21, 	OKEX        , 	Bitfinex    , 	VSYS/BTC, 	3.87e-06, 	7340.0, 	3.85e-06, 	305.4, 	0.519481%, 	0.350000%, 	0.169481%
2020-04-09 01:17:36, 	OKEX        , 	Bitfinex    , 	VSYS/BTC, 	3.87e-06, 	7340.0, 	3.85e-06, 	305.4, 	0.519481%, 	0.350000%, 	0.169481%
2020-04-09 01:17:51, 	OKEX        , 	Bitfinex    , 	VSYS/BTC, 	3.85e-06, 	18251.2704, 	3.85e-06, 	305.4, 	0.000000%, 	0.350000%, 	-0.350000%
